tract,tested,BLL_geq_5,BLL_geq_10,state,year
08087000400,105,4,<3,CO,2011
08087000500,82,11,3,CO,2011
08087000600,192,8,<3,CO,2011
08087000700,208,<3,<3,CO,2011
08087000800,22,<3,<3,CO,2011
08089968000,18,<3,<3,CO,2011
08089968100,51,3,<3,CO,2011
08089968200,29,<3,<3,CO,2011
08089968300,66,<3,<3,CO,2011
08089968400,12,<3,<3,CO,2011
08089968500,9,<3,<3,CO,2011
08089968600,180,27,<3,CO,2011
08091967600,47,5,<3,CO,2011
08093000100,14,<3,<3,CO,2011
08093000200,4,<3,<3,CO,2011
08093000300,<3,<3,<3,CO,2011
08093000400,8,<3,<3,CO,2011
08093000500,<3,<3,<3,CO,2011
08095967600,16,<3,<3,CO,2011
08095967700,5,<3,<3,CO,2011
08097000100,84,4,<3,CO,2011
08097000401,14,<3,<3,CO,2011
08097000402,3,<3,<3,CO,2011
08097000500,6,<3,<3,CO,2011
08099000100,10,<3,<3,CO,2011
08099000200,43,<3,<3,CO,2011
08099000300,60,<3,<3,CO,2011
08099000600,8,<3,<3,CO,2011
08099000700,17,<3,<3,CO,2011
08101000100,30,<3,<3,CO,2011
08101000200,44,<3,<3,CO,2011
08101000300,<3,<3,<3,CO,2011
08101000400,31,4,<3,CO,2011
08101000500,24,<3,<3,CO,2011
08101000600,50,<3,<3,CO,2011
08101000800,45,<3,<3,CO,2011
08101000902,105,3,<3,CO,2011
08101000903,<3,<3,<3,CO,2011
08101000904,39,<3,<3,CO,2011
08101000905,44,<3,<3,CO,2011
08101001000,80,5,<3,CO,2011
08101001100,54,3,<3,CO,2011
08101001200,40,<3,<3,CO,2011
08101001400,21,<3,<3,CO,2011
08101001500,23,<3,<3,CO,2011
08101001600,10,<3,<3,CO,2011
08101001700,31,<3,<3,CO,2011
08101001800,33,<3,<3,CO,2011
08101001900,17,<3,<3,CO,2011
08101002000,71,9,4,CO,2011
08101002100,34,4,<3,CO,2011
08101002200,31,3,<3,CO,2011
08101002300,53,<3,<3,CO,2011
08101002400,23,<3,<3,CO,2011
08101002500,43,6,<3,CO,2011
08101002600,89,<3,<3,CO,2011
08101002700,52,<3,<3,CO,2011
08101002801,71,<3,<3,CO,2011
08101002802,30,<3,<3,CO,2011
08101002804,12,<3,<3,CO,2011
08101002806,30,<3,<3,CO,2011
08101002807,44,<3,<3,CO,2011
08101002808,12,<3,<3,CO,2011
08101002901,57,<3,<3,CO,2011
08101002903,67,<3,<3,CO,2011
08101002906,16,<3,<3,CO,2011
08101002911,14,<3,<3,CO,2011
08101002912,22,<3,<3,CO,2011
08101002913,5,<3,<3,CO,2011
08101002914,31,<3,<3,CO,2011
08101002915,18,<3,<3,CO,2011
08101002916,29,<3,<3,CO,2011
08101002917,19,<3,<3,CO,2011
08101002918,37,<3,<3,CO,2011
08101003001,40,<3,<3,CO,2011
08101003004,20,<3,<3,CO,2011
08101003103,14,<3,<3,CO,2011
08101003104,9,<3,<3,CO,2011
08101003105,15,<3,<3,CO,2011
08101003106,12,<3,<3,CO,2011
08101003200,23,<3,<3,CO,2011
08101003500,19,<3,<3,CO,2011
08101003600,33,<3,<3,CO,2011
08101980100,<3,<3,<3,CO,2011
08103951100,10,<3,<3,CO,2011
08103951200,8,<3,<3,CO,2011
08105976700,288,15,<3,CO,2011
08105976800,118,4,<3,CO,2011
08105977000,56,<3,<3,CO,2011
08107000100,3,<3,<3,CO,2011
08107000200,<3,<3,<3,CO,2011
08107000300,4,<3,<3,CO,2011
08107000400,5,<3,<3,CO,2011
08107000500,19,<3,<3,CO,2011
08107000600,7,<3,<3,CO,2011
08107000700,6,<3,<3,CO,2011
08107000800,<3,<3,<3,CO,2011
08109977600,21,<3,<3,CO,2011
08109977700,248,13,<3,CO,2011
08111972600,12,<3,<3,CO,2011
08113968101,<3,<3,<3,CO,2011
08113968102,13,<3,<3,CO,2011
08113968103,3,<3,<3,CO,2011
08113968200,13,3,<3,CO,2011
08115968300,3,<3,<3,CO,2011
08117000100,65,3,<3,CO,2011
08117000200,95,<3,<3,CO,2011
08117000300,14,<3,<3,CO,2011
08117000401,<3,<3,<3,CO,2011
08117000402,33,<3,<3,CO,2011
08119010103,18,<3,<3,CO,2011
08119010104,8,<3,<3,CO,2011
08119010105,11,<3,<3,CO,2011
08119010106,18,<3,<3,CO,2011
08119010201,5,<3,<3,CO,2011
08119010202,<3,<3,<3,CO,2011
08121924100,10,<3,<3,CO,2011
08121924200,22,<3,<3,CO,2011
08123000100,290,32,5,CO,2011
08123000200,145,8,<3,CO,2011
08123000300,<3,<3,<3,CO,2011
08123000401,100,<3,<3,CO,2011
08123000402,273,23,5,CO,2011
08123000501,449,15,<3,CO,2011
08123000502,493,48,6,CO,2011
08123000600,116,4,<3,CO,2011
08123000701,247,19,<3,CO,2011
08123000703,814,17,<3,CO,2011
08123000704,46,<3,<3,CO,2011
08123000705,43,<3,<3,CO,2011
08123000800,189,11,<3,CO,2011
08123000900,176,5,<3,CO,2011
08123001003,721,26,3,CO,2011
08123001004,555,18,<3,CO,2011
08123001005,362,8,4,CO,2011
08123001006,273,8,<3,CO,2011
08123001100,186,5,<3,CO,2011
08123001201,288,9,<3,CO,2011
08123001202,105,6,<3,CO,2011
08123001300,554,21,<3,CO,2011
08123001404,103,4,<3,CO,2011
08123001405,113,<3,<3,CO,2011
08123001406,111,<3,<3,CO,2011
08123001407,22,<3,<3,CO,2011
08123001408,37,<3,<3,CO,2011
08123001409,98,3,<3,CO,2011
08123001410,23,<3,<3,CO,2011
08123001411,31,<3,<3,CO,2011
08123001412,42,<3,<3,CO,2011
08123001413,130,<3,<3,CO,2011
08123001414,47,<3,<3,CO,2011
08123001415,55,<3,<3,CO,2011
08123001416,27,<3,<3,CO,2011
08123001417,106,<3,<3,CO,2011
08123001500,105,4,<3,CO,2011
08123001600,107,6,<3,CO,2011
08123001700,136,6,<3,CO,2011
08123001800,74,6,<3,CO,2011
08123001902,39,<3,<3,CO,2011
08123001905,25,<3,<3,CO,2011
08123001906,10,<3,<3,CO,2011
08123001907,8,<3,<3,CO,2011
08123001908,29,<3,<3,CO,2011
08123002004,26,<3,<3,CO,2011
08123002005,6,<3,<3,CO,2011
08123002006,<3,<3,<3,CO,2011
08123002007,28,<3,<3,CO,2011
08123002008,24,<3,<3,CO,2011
08123002009,11,<3,<3,CO,2011
08123002010,18,<3,<3,CO,2011
08123002011,<3,<3,<3,CO,2011
08123002012,5,<3,<3,CO,2011
08123002013,10,<3,<3,CO,2011
08123002014,6,<3,<3,CO,2011
08123002015,6,<3,<3,CO,2011
08123002016,9,<3,<3,CO,2011
08123002017,3,<3,<3,CO,2011
08123002018,4,<3,<3,CO,2011
08123002019,10,<3,<3,CO,2011
08123002020,10,<3,<3,CO,2011
08123002021,3,<3,<3,CO,2011
08123002101,189,<3,<3,CO,2011
08123002102,124,5,<3,CO,2011
08123002103,29,<3,<3,CO,2011
08123002203,6,<3,<3,CO,2011
08123002204,4,<3,<3,CO,2011
08123002205,49,3,<3,CO,2011
08123002206,22,<3,<3,CO,2011
08123002207,12,<3,<3,CO,2011
08123002208,26,<3,<3,CO,2011
08123002209,<3,<3,<3,CO,2011
08123002210,4,<3,<3,CO,2011
08123002300,83,5,<3,CO,2011
08123002501,70,4,<3,CO,2011
08123002502,26,<3,<3,CO,2011
08125963100,16,3,<3,CO,2011
08125963200,54,3,<3,CO,2011
08001007801,517,33,4,CO,2012
08001007802,446,9,<3,CO,2012
08001007900,525,22,4,CO,2012
08001008000,411,12,<3,CO,2012
08001008100,53,<3,<3,CO,2012
08001008200,273,3,<3,CO,2012
08001008308,447,23,6,CO,2012
08001008309,228,6,<3,CO,2012
08001008353,183,4,<3,CO,2012
08001008401,53,4,<3,CO,2012
08001008402,52,<3,<3,CO,2012
08001008505,180,3,<3,CO,2012
08001008506,195,<3,<3,CO,2012
08001008507,145,4,<3,CO,2012
08001008508,96,<3,<3,CO,2012
08001008523,55,<3,<3,CO,2012
08001008524,67,<3,<3,CO,2012
08001008526,54,<3,<3,CO,2012
08001008529,144,<3,<3,CO,2012
08001008533,194,<3,<3,CO,2012
08001008534,85,<3,<3,CO,2012
08001008535,73,<3,<3,CO,2012
08001008536,15,<3,<3,CO,2012
08001008537,62,3,<3,CO,2012
08001008538,50,<3,<3,CO,2012
08001008539,112,<3,<3,CO,2012
08001008540,77,<3,<3,CO,2012
08001008541,15,<3,<3,CO,2012
08001008542,41,<3,<3,CO,2012
08001008543,52,<3,<3,CO,2012
08001008544,34,<3,<3,CO,2012
08001008545,56,<3,<3,CO,2012
08001008546,55,<3,<3,CO,2012
08001008547,32,<3,<3,CO,2012
08001008548,21,<3,<3,CO,2012
08001008549,55,<3,<3,CO,2012
08001008550,136,<3,<3,CO,2012
08001008551,11,<3,<3,CO,2012
08001008603,27,<3,<3,CO,2012
08001008604,26,<3,<3,CO,2012
08001008605,50,<3,<3,CO,2012
08001008606,82,<3,<3,CO,2012
08001008705,184,7,<3,CO,2012
08001008706,201,4,<3,CO,2012
08001008709,352,12,6,CO,2012
08001008801,232,16,6,CO,2012
08001008802,147,8,<3,CO,2012
08001008901,134,7,<3,CO,2012
08001009001,206,7,<3,CO,2012
08001009002,382,9,<3,CO,2012
08001009101,142,4,<3,CO,2012
08001009103,173,<3,<3,CO,2012
08001009104,185,6,<3,CO,2012
08001009202,173,3,<3,CO,2012
08001009203,194,6,<3,CO,2012
08001009204,172,3,<3,CO,2012
08001009206,34,<3,<3,CO,2012
08001009207,145,6,<3,CO,2012
08001009304,275,8,<3,CO,2012
08001009306,122,4,<3,CO,2012
08001009307,182,<3,<3,CO,2012
08001009308,194,5,<3,CO,2012
08001009309,158,3,<3,CO,2012
08001009310,248,5,<3,CO,2012
08001009316,329,3,<3,CO,2012
08001009318,347,5,<3,CO,2012
08001009319,83,<3,<3,CO,2012
08001009320,158,4,<3,CO,2012
08001009321,141,<3,<3,CO,2012
08001009322,144,4,<3,CO,2012
08001009323,147,6,<3,CO,2012
08001009325,61,<3,<3,CO,2012
08001009326,22,<3,<3,CO,2012
08001009327,94,<3,<3,CO,2012
08001009401,156,<3,<3,CO,2012
08001009406,95,<3,<3,CO,2012
08001009407,204,5,<3,CO,2012
08001009408,16,<3,<3,CO,2012
08001009409,30,<3,<3,CO,2012
08001009410,15,<3,<3,CO,2012
08001009411,38,<3,<3,CO,2012
08001009501,126,<3,<3,CO,2012
08001009502,177,<3,<3,CO,2012
08001009553,126,4,<3,CO,2012
08001009603,157,<3,<3,CO,2012
08001009604,160,4,<3,CO,2012
08001009606,179,9,<3,CO,2012
08001009607,167,6,<3,CO,2012
08001009608,56,<3,<3,CO,2012
08001009751,174,6,<3,CO,2012
08001009752,158,<3,<3,CO,2012
08001015000,124,<3,<3,CO,2012
08001060000,32,<3,<3,CO,2012
08001060100,78,<3,<3,CO,2012
08001060200,50,<3,<3,CO,2012
08001061200,12,<3,<3,CO,2012
08001988700,<3,<3,<3,CO,2012
08003960000,17,<3,<3,CO,2012
08003960100,40,<3,<3,CO,2012
08003960200,194,4,<3,CO,2012
08003960300,154,8,<3,CO,2012
08005004951,78,5,<3,CO,2012
08005004952,106,3,<3,CO,2012
08005005551,138,5,<3,CO,2012
08005005552,109,5,<3,CO,2012
08005005553,135,6,<3,CO,2012
08005005611,45,<3,<3,CO,2012
08005005612,53,<3,<3,CO,2012
08005005614,30,<3,<3,CO,2012
08005005619,39,<3,<3,CO,2012
08005005620,25,<3,<3,CO,2012
08005005621,8,<3,<3,CO,2012
08005005622,9,<3,<3,CO,2012
08005005623,11,<3,<3,CO,2012
08005005624,9,<3,<3,CO,2012
08005005625,20,<3,<3,CO,2012
08005005626,22,<3,<3,CO,2012
08005005627,13,<3,<3,CO,2012
08005005628,41,<3,<3,CO,2012
08005005629,3,<3,<3,CO,2012
08005005630,25,<3,<3,CO,2012
08005005631,16,<3,<3,CO,2012
08005005632,13,<3,<3,CO,2012
08005005633,5,<3,<3,CO,2012
08005005634,4,<3,<3,CO,2012
08005005635,22,<3,<3,CO,2012
08005005636,6,<3,<3,CO,2012
08005005700,106,5,<3,CO,2012
08005005800,40,<3,<3,CO,2012
08005005951,81,7,<3,CO,2012
08005005952,42,<3,<3,CO,2012
08005006000,87,3,<3,CO,2012
08005006100,68,<3,<3,CO,2012
08005006200,50,<3,<3,CO,2012
08005006300,51,<3,<3,CO,2012
08005006400,83,5,<3,CO,2012
08005006501,23,<3,<3,CO,2012
08005006502,55,<3,<3,CO,2012
08005006601,204,5,<3,CO,2012
08005006603,35,<3,<3,CO,2012
08005006604,71,3,<3,CO,2012
08005006704,20,<3,<3,CO,2012
08005006705,10,<3,<3,CO,2012
08005006706,15,<3,<3,CO,2012
08005006707,35,<3,<3,CO,2012
08005006708,12,<3,<3,CO,2012
08005006709,18,<3,<3,CO,2012
08005006711,21,<3,<3,CO,2012
08005006712,<3,<3,<3,CO,2012
08005006713,8,<3,<3,CO,2012
08005006808,20,<3,<3,CO,2012
08005006815,45,5,<3,CO,2012
08005006854,27,<3,<3,CO,2012
08005006855,19,<3,<3,CO,2012
08005006856,103,<3,<3,CO,2012
08005006857,6,<3,<3,CO,2012
08005006858,10,<3,<3,CO,2012
08005007101,33,<3,<3,CO,2012
08005007103,11,<3,<3,CO,2012
08005007104,83,<3,<3,CO,2012
08005007105,119,<3,<3,CO,2012
08005007106,66,<3,<3,CO,2012
08005007107,101,<3,<3,CO,2012
08005007201,205,7,<3,CO,2012
08005007202,388,21,<3,CO,2012
08005007301,153,4,<3,CO,2012
08005007302,539,21,3,CO,2012
08005007400,315,11,<3,CO,2012
08005007500,131,<3,<3,CO,2012
08005007600,148,<3,<3,CO,2012
08005007702,180,6,<3,CO,2012
08005007703,203,6,<3,CO,2012
08005007704,312,7,<3,CO,2012
08005015100,38,<3,<3,CO,2012
08005080000,218,14,<3,CO,2012
08005080100,135,5,<3,CO,2012
08005080200,143,5,<3,CO,2012
08005080300,105,<3,<3,CO,2012
08005080400,68,<3,<3,CO,2012
08005080500,31,<3,<3,CO,2012
08005080600,107,3,<3,CO,2012
08005080700,214,3,<3,CO,2012
08005080800,191,7,<3,CO,2012
08005080900,128,<3,<3,CO,2012
08005081000,327,4,<3,CO,2012
08005081100,259,<3,<3,CO,2012
08005081200,166,6,<3,CO,2012
08005081300,105,<3,<3,CO,2012
08005081400,84,<3,<3,CO,2012
08005081500,<3,<3,<3,CO,2012
08005081600,77,<3,<3,CO,2012
08005081700,13,<3,<3,CO,2012
08005081800,380,4,<3,CO,2012
08005081900,344,4,<3,CO,2012
08005082000,181,<3,<3,CO,2012
08005082100,300,6,<3,CO,2012
08005082200,127,<3,<3,CO,2012
08005082300,114,<3,<3,CO,2012
08005082400,90,<3,<3,CO,2012
08005082500,19,<3,<3,CO,2012
08005082600,151,6,<3,CO,2012
08005082700,79,<3,<3,CO,2012
08005082800,94,3,<3,CO,2012
08005082900,90,<3,<3,CO,2012
08005083000,28,<3,<3,CO,2012
08005083100,128,<3,<3,CO,2012
08005083200,101,<3,<3,CO,2012
08005083300,55,<3,<3,CO,2012
08005083400,84,<3,<3,CO,2012
08005083500,108,3,<3,CO,2012
08005083600,46,<3,<3,CO,2012
08005083700,35,<3,<3,CO,2012
08005083800,51,<3,<3,CO,2012
08005083900,35,<3,<3,CO,2012
08005084000,27,<3,<3,CO,2012
08005084100,48,<3,<3,CO,2012
08005084200,77,<3,<3,CO,2012
08005084300,45,<3,<3,CO,2012
08005084400,49,<3,<3,CO,2012
08005084500,48,3,<3,CO,2012
08005084600,73,<3,<3,CO,2012
08005084700,60,<3,<3,CO,2012
08005084800,47,<3,<3,CO,2012
08005084900,24,<3,<3,CO,2012
08005085000,18,<3,<3,CO,2012
08005085100,39,<3,<3,CO,2012
08005085200,11,<3,<3,CO,2012
08005085300,18,<3,<3,CO,2012
08005085400,46,<3,<3,CO,2012
08005085500,44,<3,<3,CO,2012
08005085600,14,<3,<3,CO,2012
08005085700,67,<3,<3,CO,2012
08005085800,15,<3,<3,CO,2012
08005085900,55,<3,<3,CO,2012
08005086000,87,<3,<3,CO,2012
08005086100,47,<3,<3,CO,2012
08005086200,72,<3,<3,CO,2012
08005086300,58,<3,<3,CO,2012
08005086400,8,<3,<3,CO,2012
08005086500,49,<3,<3,CO,2012
08005086600,39,<3,<3,CO,2012
08005086700,58,<3,<3,CO,2012
08005086800,269,8,3,CO,2012
08005086900,119,4,<3,CO,2012
08005087000,209,<3,<3,CO,2012
08005087100,56,<3,<3,CO,2012
08005087200,81,<3,<3,CO,2012
08005087300,366,7,<3,CO,2012
08007940400,8,<3,<3,CO,2012
08007974200,50,<3,<3,CO,2012
08007974300,53,<3,<3,CO,2012
08007974400,10,<3,<3,CO,2012
08009964600,9,<3,<3,CO,2012
08009964700,13,<3,<3,CO,2012
08011966700,42,7,4,CO,2012
08013012101,41,<3,<3,CO,2012
08013012102,115,<3,<3,CO,2012
08013012103,45,<3,<3,CO,2012
08013012104,32,<3,<3,CO,2012
08013012105,181,<3,<3,CO,2012
08013012201,27,<3,<3,CO,2012
08013012202,37,<3,<3,CO,2012
08013012203,198,4,<3,CO,2012
08013012204,26,<3,<3,CO,2012
08013012300,32,<3,<3,CO,2012
08013012401,23,<3,<3,CO,2012
08013012501,26,<3,<3,CO,2012
08013012505,24,<3,<3,CO,2012
08013012507,46,<3,<3,CO,2012
08013012508,21,<3,<3,CO,2012
08013012509,32,<3,<3,CO,2012
08013012510,27,<3,<3,CO,2012
08013012511,36,<3,<3,CO,2012
08013012603,30,<3,<3,CO,2012
08013012605,33,<3,<3,CO,2012
08013012607,20,<3,<3,CO,2012
08013012608,32,<3,<3,CO,2012
08013012701,42,<3,<3,CO,2012
08013012705,29,<3,<3,CO,2012
08013012707,44,<3,<3,CO,2012
08013012708,32,3,<3,CO,2012
08013012709,27,<3,<3,CO,2012
08013012710,39,<3,<3,CO,2012
08013012800,57,<3,<3,CO,2012
08013012903,12,<3,<3,CO,2012
08013012904,45,<3,<3,CO,2012
08013012905,69,<3,<3,CO,2012
08013012907,31,<3,<3,CO,2012
08013013003,36,<3,<3,CO,2012
08013013004,34,<3,<3,CO,2012
08013013005,32,<3,<3,CO,2012
08013013006,35,<3,<3,CO,2012
08013013201,5,<3,<3,CO,2012
08013013202,4,<3,<3,CO,2012
08013013205,14,<3,<3,CO,2012
08013013207,16,<3,<3,CO,2012
08013013208,24,<3,<3,CO,2012
08013013210,82,<3,<3,CO,2012
08013013211,49,<3,<3,CO,2012
08013013212,24,<3,<3,CO,2012
08013013213,52,<3,<3,CO,2012
08013013302,69,<3,<3,CO,2012
08013013305,38,<3,<3,CO,2012
08013013306,59,<3,<3,CO,2012
08013013307,44,<3,<3,CO,2012
08013013308,29,<3,<3,CO,2012
08013013401,59,<3,<3,CO,2012
08013013402,63,<3,<3,CO,2012
08013013503,100,3,<3,CO,2012
08013013505,71,<3,<3,CO,2012
08013013506,15,<3,<3,CO,2012
08013013507,25,<3,<3,CO,2012
08013013508,24,<3,<3,CO,2012
08013013601,21,<3,<3,CO,2012
08013013602,6,<3,<3,CO,2012
08013013701,39,<3,<3,CO,2012
08013013702,47,<3,<3,CO,2012
08013060600,26,<3,<3,CO,2012
08013060700,7,<3,<3,CO,2012
08013060800,189,<3,<3,CO,2012
08013060900,30,<3,<3,CO,2012
08013061300,13,<3,<3,CO,2012
08013061400,7,<3,<3,CO,2012
08014030000,49,<3,<3,CO,2012
08014030100,32,<3,<3,CO,2012
08014030200,15,<3,<3,CO,2012
08014030300,33,<3,<3,CO,2012
08014030400,27,<3,<3,CO,2012
08014030500,21,<3,<3,CO,2012
08014030600,95,<3,<3,CO,2012
08014030700,24,<3,<3,CO,2012
08014030800,42,<3,<3,CO,2012
08014030900,21,<3,<3,CO,2012
08014031000,9,<3,<3,CO,2012
08014031100,12,<3,<3,CO,2012
08014031200,45,<3,<3,CO,2012
08014031300,4,<3,<3,CO,2012
08014031400,15,<3,<3,CO,2012
08014980100,<3,<3,<3,CO,2012
08014980200,<3,<3,<3,CO,2012
08014980300,<3,<3,<3,CO,2012
08015000100,55,<3,<3,CO,2012
08015000200,87,<3,<3,CO,2012
08015000300,32,<3,<3,CO,2012
08015000401,43,<3,<3,CO,2012
08015000402,18,<3,<3,CO,2012
08017960600,6,<3,<3,CO,2012
08019014700,40,<3,<3,CO,2012
08019014800,6,<3,<3,CO,2012
08019014900,13,3,<3,CO,2012
08021974800,39,4,<3,CO,2012
08021974900,56,3,<3,CO,2012
08023972600,65,3,<3,CO,2012
08023972700,71,<3,<3,CO,2012
08025969600,30,5,<3,CO,2012
08027970100,15,<3,<3,CO,2012
08029964600,8,<3,<3,CO,2012
08029964700,23,<3,<3,CO,2012
08029964800,66,<3,<3,CO,2012
08029964900,104,4,<3,CO,2012
08029965000,18,<3,<3,CO,2012
08029965100,74,3,<3,CO,2012
08029965200,32,4,4,CO,2012
08031000102,114,6,<3,CO,2012
08031000201,272,8,<3,CO,2012
08031000202,365,5,<3,CO,2012
08031000301,160,3,<3,CO,2012
08031000302,124,<3,<3,CO,2012
08031000303,159,5,<3,CO,2012
08031000401,170,4,<3,CO,2012
08031000402,240,6,<3,CO,2012
08031000501,50,<3,<3,CO,2012
08031000502,279,<3,<3,CO,2012
08031000600,188,4,<3,CO,2012
08031000701,369,10,<3,CO,2012
08031000702,605,10,<3,CO,2012
08031000800,763,33,5,CO,2012
08031000902,571,11,<3,CO,2012
08031000903,786,16,<3,CO,2012
08031000904,640,20,5,CO,2012
08031000905,396,11,<3,CO,2012
08031001000,529,11,<3,CO,2012
08031001101,231,4,<3,CO,2012
08031001102,165,6,<3,CO,2012
08031001301,475,9,<3,CO,2012
08031001302,390,8,<3,CO,2012
08031001401,540,6,<3,CO,2012
08031001402,358,6,<3,CO,2012
08031001403,88,<3,<3,CO,2012
08031001500,310,11,<3,CO,2012
08031001600,266,13,<3,CO,2012
08031001701,43,<3,<3,CO,2012
08031001702,30,<3,<3,CO,2012
08031001800,142,18,3,CO,2012
08031001901,297,14,<3,CO,2012
08031001902,5,<3,<3,CO,2012
08031002000,14,<3,<3,CO,2012
08031002100,311,51,13,CO,2012
08031002300,361,16,<3,CO,2012
08031002402,111,<3,<3,CO,2012
08031002403,182,12,<3,CO,2012
08031002601,32,<3,<3,CO,2012
08031002602,47,4,<3,CO,2012
08031002701,47,3,<3,CO,2012
08031002702,41,<3,<3,CO,2012
08031002703,51,<3,<3,CO,2012
08031002801,77,8,<3,CO,2012
08031002802,83,4,<3,CO,2012
08031002803,56,3,<3,CO,2012
08031002901,83,<3,<3,CO,2012
08031002902,142,5,<3,CO,2012
08031003001,180,7,<3,CO,2012
08031003002,57,<3,<3,CO,2012
08031003003,42,<3,<3,CO,2012
08031003004,85,<3,<3,CO,2012
08031003101,83,<3,<3,CO,2012
08031003102,82,3,<3,CO,2012
08031003201,117,<3,<3,CO,2012
08031003202,27,<3,<3,CO,2012
08031003203,98,3,<3,CO,2012
08031003300,139,5,<3,CO,2012
08031003401,53,<3,<3,CO,2012
08031003402,163,3,<3,CO,2012
08031003500,871,62,14,CO,2012
08031003601,463,27,5,CO,2012
08031003602,436,23,3,CO,2012
08031003603,166,8,<3,CO,2012
08031003701,95,6,<3,CO,2012
08031003702,103,4,<3,CO,2012
08031003703,118,5,<3,CO,2012
08031003800,66,4,<3,CO,2012
08031003901,71,<3,<3,CO,2012
08031003902,101,<3,<3,CO,2012
08031004002,49,<3,<3,CO,2012
08031004003,70,<3,<3,CO,2012
08031004004,34,<3,<3,CO,2012
08031004005,38,<3,<3,CO,2012
08031004006,48,4,<3,CO,2012
08031004101,308,9,<3,CO,2012
08031004102,331,8,3,CO,2012
08031004103,297,14,<3,CO,2012
08031004104,250,7,<3,CO,2012
08031004106,184,6,<3,CO,2012
08031004107,149,<3,<3,CO,2012
08031004201,205,10,<3,CO,2012
08031004202,161,4,<3,CO,2012
08031004301,121,8,<3,CO,2012
08031004302,99,<3,<3,CO,2012
08031004303,103,3,<3,CO,2012
08031004304,216,7,<3,CO,2012
08031004306,103,<3,<3,CO,2012
08031004403,223,16,6,CO,2012
08031004404,680,35,7,CO,2012
08031004405,195,3,<3,CO,2012
08031004503,554,10,<3,CO,2012
08031004504,504,8,<3,CO,2012
08031004505,597,17,<3,CO,2012
08031004506,510,8,3,CO,2012
08031004601,371,3,<3,CO,2012
08031004602,733,16,5,CO,2012
08031004603,350,3,<3,CO,2012
08031004700,465,7,<3,CO,2012
08031004801,88,<3,<3,CO,2012
08031005001,96,<3,<3,CO,2012
08031005002,335,5,<3,CO,2012
08031005102,118,6,<3,CO,2012
08031005104,163,8,<3,CO,2012
08031005200,57,<3,<3,CO,2012
08031005300,23,<3,<3,CO,2012
08031005502,66,<3,<3,CO,2012
08031005503,109,3,<3,CO,2012
08031006701,17,<3,<3,CO,2012
08031006804,22,<3,<3,CO,2012
08031006809,111,3,<3,CO,2012
08031006810,136,3,<3,CO,2012
08031006811,78,<3,<3,CO,2012
08031006812,42,<3,<3,CO,2012
08031006813,118,3,<3,CO,2012
08031006814,240,3,3,CO,2012
08031006901,282,9,4,CO,2012
08031007006,195,9,<3,CO,2012
08031007013,56,3,<3,CO,2012
08031007037,324,6,<3,CO,2012
08031007088,166,<3,<3,CO,2012
08031007089,97,<3,<3,CO,2012
08031008304,303,4,<3,CO,2012
08031008305,313,10,3,CO,2012
08031008306,500,6,<3,CO,2012
08031008312,489,8,<3,CO,2012
08031008386,324,5,<3,CO,2012
08031008387,361,9,<3,CO,2012
08031008388,360,<3,<3,CO,2012
08031008389,314,8,<3,CO,2012
08031008390,330,7,<3,CO,2012
08031008391,281,12,<3,CO,2012
08031011902,310,7,<3,CO,2012
08031011903,58,<3,<3,CO,2012
08031012001,40,<3,<3,CO,2012
08031012010,39,<3,<3,CO,2012
08031012014,118,5,<3,CO,2012
08031015300,61,<3,<3,CO,2012
08031015400,115,<3,<3,CO,2012
08031015500,179,4,<3,CO,2012
08031015600,694,18,4,CO,2012
08031015700,267,3,<3,CO,2012
08031980000,66,<3,<3,CO,2012
08031980100,<3,<3,<3,CO,2012
08033000100,14,<3,<3,CO,2012
08035013901,57,<3,<3,CO,2012
08035013904,44,<3,<3,CO,2012
08035013905,44,<3,<3,CO,2012
08035013907,55,<3,<3,CO,2012
08035013908,38,<3,<3,CO,2012
08035013909,55,<3,<3,CO,2012
08035013910,50,<3,<3,CO,2012
08035013911,56,<3,<3,CO,2012
08035014001,84,<3,<3,CO,2012
08035014005,35,<3,<3,CO,2012
08035014006,62,<3,<3,CO,2012
08035014007,26,<3,<3,CO,2012
08035014008,41,<3,<3,CO,2012
08035014009,42,<3,<3,CO,2012
08035014010,55,<3,<3,CO,2012
08035014011,20,<3,<3,CO,2012
08035014012,54,<3,<3,CO,2012
08035014013,40,<3,<3,CO,2012
08035014107,10,<3,<3,CO,2012
08035014108,12,<3,<3,CO,2012
08035014109,3,<3,<3,CO,2012
08035014110,26,<3,<3,CO,2012
08035014112,12,<3,<3,CO,2012
08035014113,7,<3,<3,CO,2012
08035014114,25,<3,<3,CO,2012
08035014115,8,<3,<3,CO,2012
08035014116,19,<3,<3,CO,2012
08035014122,7,<3,<3,CO,2012
08035014123,53,<3,<3,CO,2012
08035014124,13,<3,<3,CO,2012
08035014125,9,<3,<3,CO,2012
08035014126,4,<3,<3,CO,2012
08035014127,7,<3,<3,CO,2012
08035014128,20,<3,<3,CO,2012
08035014129,9,<3,<3,CO,2012
08035014130,11,<3,<3,CO,2012
08035014131,6,<3,<3,CO,2012
08035014132,12,<3,<3,CO,2012
08035014133,15,3,<3,CO,2012
08035014134,9,<3,<3,CO,2012
08035014135,11,<3,<3,CO,2012
08035014136,40,<3,<3,CO,2012
08035014137,22,<3,<3,CO,2012
